HOTEL_NAME,ADDRESS,COMMUNITY,Parish,Longitude,Latitude
Sundance Villa,Lot 2b Osbourne,Discovery Bay,St. Ann,-77.10303128,18.41080352
Sundown Villa,"Fortland Rd, c/o PO Box 51 Oc",Discovery Bay,St. Ann,-77.10299562,18.41212569
The Accomodationer,"P.O. Box 89, Main Street",Discovery Bay,St. Ann,-77.08870369,18.40410857
Villa Brawta,Lot 2 Osbourne,Discovery Bay,St. Ann,-77.02906547,18.41843433
Rio Chico,"P.O. Box 51, Ocho Rios, St. A","Dunn's River, Ocho",St. Ann,-77.35299899,"17.853811393,"
Murphy Hill Lodging,Epworth District,Epworth,St. Ann,-77.54054448,18.4878146
Bolt House Villa,Ocho Rios P.O. Box 118,Galina,St. Ann,-78.34475912,18.2835034
Chukka Cove Villas,Laughlands P.O. Box 160,Laughlands,St. Ann,-78.33364914,18.34774747
Bal - Inn,"Mammee Bay, St Ann's Bay P.O.",Mammee Bay,St. Ann,-78.36472343,18.25876877
Bay Point Villas 1-4,Arawak P.O.,Mammee Bay,St. Ann,-78.36352257,18.25544534
Blue Waters,Old Fort Bay,Mammee Bay,St. Ann,-78.34567204,"18.278108393,"
Blundell House,Arawak P.O.,Mammee Bay,St. Ann,-78.34491753,18.28253827
Camelot,,Mammee Bay,St. Ann,-78.33984937,18.33976787
Cannon Cottage,Old Fort Bay,Mammee Bay,St. Ann,-78.33984472,18.2905205
Cannon Villas,Arawak P.O.,Mammee Bay,St. Ann,-78.33942994,18.29167202
Casa Blanca,Arawak P.O. 305,Mammee Bay,St. Ann,-78.33825694,18.30155184
Cirrohosis on the Sea,"Mammee Beach Road, Arawak P.O",Mammee Bay,St. Ann,-78.31493785,18.27505344
Coco Palms,Kemney Road,Mammee Bay,St. Ann,-78.18757648,18.45254139
Cove Villa,"Lot 91 Peart Avenue, Mammee B",Mammee Bay,St. Ann,-78.06113623,18.44826875
Drabar Villa,Arawak P.O. Box 332,Mammee Bay,St. Ann,-78.05543611,"18.448430173,"
